fname,lambda_010,lambda_025,lambda_050,lambda_075,lambda_100,lambda_inf,lambda_000
Demo_TCGA-BRCA/HR/Demo_TCGA-BRCA_100672-103808.jpg,0.49699124693870544,0.4620150029659271,0.5028908848762512,0.5219131112098694,0.5965460538864136,0,1
Demo_TCGA-BRCA/HR/Demo_TCGA-BRCA_100672-104832.jpg,0.5555136203765869,0.5410645604133606,0.4710952937602997,0.5014106035232544,0.5363383889198303,0,1
Demo_TCGA-BRCA/HR/Demo_TCGA-BRCA_100672-105856.jpg,0.5789698958396912,0.4717639982700348,0.5237961411476135,0.5730178952217102,0.5373827219009399,0,1
Demo_TCGA-BRCA/HR/Demo_TCGA-BRCA_100672-106880.jpg,0.5656684637069702,0.5248638391494751,0.48372092843055725,0.596028208732605,0.5073801875114441,0,1
Demo_TCGA-BRCA/HR/Demo_TCGA-BRCA_100672-107904.jpg,0.5389502048492432,0.4952598512172699,0.527349054813385,0.5147744417190552,0.5539335012435913,0,1
Demo_TCGA-BRCA/HR/Demo_TCGA-BRCA_100672-108928.jpg,0.5923711657524109,0.4665534794330597,0.5438339114189148,0.5441120266914368,0.5199096202850342,0,1
Demo_TCGA-BRCA/HR/Demo_TCGA-BRCA_100672-109952.jpg,0.5666300654411316,0.4983276128768921,0.5364462733268738,0.5277946591377258,0.5505973100662231,0,1
Demo_TCGA-BRCA/HR/Demo_TCGA-BRCA_100672-110976.jpg,0.5808714032173157,0.5902824401855469,0.5393399596214294,0.5364410877227783,0.4737357795238495,0,1
Demo_TCGA-BRCA/HR/Demo_TCGA-BRCA_100672-112000.jpg,0.5583910942077637,0.4673958718776703,0.4535396099090576,0.5220233201980591,0.4365072250366211,0,1
Demo_TCGA-BRCA/HR/Demo_TCGA-BRCA_100672-113024.jpg,0.561759889125824,0.5287615656852722,0.5497156977653503,0.5355167388916016,0.4602286219596863,0,1
Demo_TCGA-BRCA/HR/Demo_TCGA-BRCA_100672-114048.jpg,0.4994809329509735,0.5274845957756042,0.5461974143981934,0.583419680595398,0.5192534327507019,0,1
Demo_TCGA-BRCA/HR/Demo_TCGA-BRCA_100672-115072.jpg,0.5661808252334595,0.4944722056388855,0.5436757206916809,0.5421862006187439,0.5339124202728271,0,1
Demo_TCGA-BRCA/HR/Demo_TCGA-BRCA_100672-116096.jpg,0.5176626443862915,0.5138369202613831,0.5626733899116516,0.49774599075317383,0.5820081233978271,0,1
Demo_TCGA-BRCA/HR/Demo_TCGA-BRCA_100672-117120.jpg,0.54767245054245,0.5156370401382446,0.5508559942245483,0.5247584581375122,0.566034197807312,0,1
Demo_TCGA-BRCA/HR/Demo_TCGA-BRCA_100672-118144.jpg,0.6130516529083252,0.4606075882911682,0.5203768014907837,0.5267886519432068,0.5917957425117493,0,1
Demo_TCGA-BRCA/HR/Demo_TCGA-BRCA_100672-119168.jpg,0.5321878790855408,0.4437987208366394,0.49049970507621765,0.4969936013221741,0.5773405432701111,0,1
Demo_TCGA-BRCA/HR/Demo_TCGA-BRCA_100672-120192.jpg,0.5975319147109985,0.5296516418457031,0.5075323581695557,0.4939391314983368,0.5264033675193787,0,1
Demo_TCGA-BRCA/HR/Demo_TCGA-BRCA_100672-121216.jpg,0.5917212963104248,0.5488721132278442,0.528472900390625,0.5318337082862854,0.49900656938552856,0,1
Demo_TCGA-BRCA/HR/Demo_TCGA-BRCA_100672-122240.jpg,0.5775432586669922,0.5179713368415833,0.5190066695213318,0.5603441596031189,0.4700466990470886,0,1
Demo_TCGA-BRCA/HR/Demo_TCGA-BRCA_100672-123264.jpg,0.5548349022865295,0.5391546487808228,0.528867244720459,0.49264663457870483,0.5777847766876221,0,1
Demo_TCGA-BRCA/HR/Demo_TCGA-BRCA_100672-124288.jpg,0.5962463617324829,0.5529512166976929,0.5365358591079712,0.5303220748901367,0.5878928899765015,0,1
Demo_TCGA-BRCA/HR/Demo_TCGA-BRCA_100672-125312.jpg,0.6105680465698242,0.5639568567276001,0.519782304763794,0.5297833681106567,0.5290128588676453,0,1
Demo_TCGA-BRCA/HR/Demo_TCGA-BRCA_100672-126336.jpg,0.5712318420410156,0.49121710658073425,0.5523300170898438,0.5695682764053345,0.5801619291305542,0,1
Demo_TCGA-BRCA/HR/Demo_TCGA-BRCA_100672-127360.jpg,0.4605608284473419,0.5629138946533203,0.47476205229759216,0.5496711134910583,0.4565593898296356,0,1
Demo_TCGA-BRCA/HR/Demo_TCGA-BRCA_100672-128384.jpg,0.5159894824028015,0.5126762390136719,0.4609207808971405,0.5851120948791504,0.47211354970932007,0,1
